index,ContractAge,Position,Nationality,Height,Overall Pick,GAMES_PLAYED_t,G_t,A_t,P_t,PLUS_MINUS_t,PIM_t,GP_PLAYOFF_t,G_PLAYOFF_t,A_PLAYOFF_t,P_PLAYOFF_t,PLUS_MINUS_PLAYOFF_t,PIM_PLAYOFF_t,TOI_t,ixG_t,xG±/60_t,RelxG±/60_t,C±/60_t,RelC±/60_t,TOI_PLAYOFF_t,ixG_PLAYOFF_t,xG±/60_PLAYOFF_t,RelxG±/60_PLAYOFF_t,C±/60_PLAYOFF_t,RelC±/60_PLAYOFF_t,G_PG_t,P_PG_t,PIM_PG_t,G_PG_PLAYOFF_t,P_PG_PLAYOFF_t,GAMES_PLAYED_t1,G_t1,A_t1,P_t1,PLUS_MINUS_t1,PIM_t1,GP_PLAYOFF_t1,G_PLAYOFF_t1,A_PLAYOFF_t1,P_PLAYOFF_t1,PLUS_MINUS_PLAYOFF_t1,PIM_PLAYOFF_t1,TOI_t1,ixG_t1,xG±/60_t1,RelxG±/60_t1,C±/60_t1,RelC±/60_t1,TOI_PLAYOFF_t1,ixG_PLAYOFF_t1,xG±/60_PLAYOFF_t1,RelxG±/60_PLAYOFF_t1,C±/60_PLAYOFF_t1,RelC±/60_PLAYOFF_t1,G_PG_t1,P_PG_t1,PIM_PG_t1,G_PG_PLAYOFF_t1,P_PG_PLAYOFF_t1,GAMES_PLAYED_t2,G_t2,A_t2,P_t2,PLUS_MINUS_t2,PIM_t2,GP_PLAYOFF_t2,G_PLAYOFF_t2,A_PLAYOFF_t2,P_PLAYOFF_t2,PLUS_MINUS_PLAYOFF_t2,PIM_PLAYOFF_t2,TOI_t2,ixG_t2,xG±/60_t2,RelxG±/60_t2,C±/60_t2,RelC±/60_t2,TOI_PLAYOFF_t2,ixG_PLAYOFF_t2,xG±/60_PLAYOFF_t2,RelxG±/60_PLAYOFF_t2,C±/60_PLAYOFF_t2,RelC±/60_PLAYOFF_t2,G_PG_t2,P_PG_t2,PIM_PG_t2,G_PG_PLAYOFF_t2,P_PG_PLAYOFF_t2,GAMES_PLAYED_avg,G_avg,A_avg,P_avg,PLUS_MINUS_avg,PIM_avg,GP_PLAYOFF_avg,G_PLAYOFF_avg,A_PLAYOFF_avg,P_PLAYOFF_avg,PLUS_MINUS_PLAYOFF_avg,PIM_PLAYOFF_avg,TOI_avg,ixG_avg,xG±/60_avg,RelxG±/60_avg,C±/60_avg,RelC±/60_avg,TOI_PLAYOFF_avg,ixG_PLAYOFF_avg,xG±/60_PLAYOFF_avg,RelxG±/60_PLAYOFF_avg,C±/60_PLAYOFF_avg,RelC±/60_PLAYOFF_avg,G_PG_avg,P_PG_avg,PIM_PG_avg,G_PG_PLAYOFF_avg,P_PG_PLAYOFF_avg,Current Salary
Radko Gudas,33.0,D,CZE,72.0,66.0,72.0,2.0,15.0,17.0,14.0,79.0,21.0,0.0,3.0,3.0,-5.0,34.0,15.35,2.98,0.97,0.37,16.52,3.71,16.65,0.27,-0.18,-0.04,-10.34,-4.99,0.027777777777777776,0.2361111111111111,1.0972222222222223,0.0,0.14285714285714285,77.0,3.0,13.0,16.0,27.0,105.0,10.0,0.0,2.0,2.0,1.0,6.0,16.45,3.34,0.76,0.03,13.68,-3.26,13.116666666666667,0.49,-0.47,-0.66,10.9,-4.8,0.03896103896103896,0.2077922077922078,1.3636363636363635,0.0,0.2,54.0,2.0,9.0,11.0,6.0,40.0,6.0,1.0,1.0,2.0,2.0,4.0,16.016666666666666,2.12,0.34,-0.07,7.27,-1.39,15.833333333333334,0.22,-0.62,-0.77,-3.81,-10.02,0.037037037037037035,0.2037037037037037,0.7407407407407407,0.16666666666666666,0.3333333333333333,67.66666666666667,2.3333333333333335,12.333333333333334,14.666666666666666,15.666666666666666,74.66666666666667,12.333333333333334,0.3333333333333333,2.0,2.3333333333333335,-0.6666666666666666,14.666666666666666,15.938888888888888,2.813333333333334,0.69,0.11,12.49,-0.31333333333333324,15.200000000000001,0.32666666666666666,-0.42333333333333334,-0.49000000000000005,-1.0833333333333333,-6.603333333333333,0.03459195125861792,0.2158690075356742,1.0671997755331086,0.05555555555555555,0.2253968253968254,"$2,500,000"
Robert Hagg,28.0,D,SWE,74.0,41.0,38.0,2.0,5.0,7.0,-5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,15.183333333333334,1.88,-0.04,0.34,-13.55,-3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.18421052631578946,0.6842105263157895,0.0,0.0,48.0,1.0,7.0,8.0,-9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,15.316666666666666,1.21,-0.55,-0.11,-12.44,-6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.16666666666666666,0.5208333333333334,0.0,0.0,34.0,2.0,3.0,5.0,-3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.783333333333333,1.81,0.12,0.11,4.41,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.14705882352941177,0.5294117647058824,0.0,0.0,40.0,1.6666666666666667,5.0,6.666666666666667,-5.666666666666667,23.0,0.0,0.0,0.0,0.0,0.0,0.0,15.094444444444443,1.6333333333333335,-0.1566666666666667,0.11333333333333334,-7.193333333333334,-2.3866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.04409614723082215,0.16597867217062265,0.5781518747850017,0.0,0.0,"$800,000"
Justin Bailey,28.0,R,USA,76.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.47,-1.45,-1.24,-38.51,-34.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,3.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.766666666666667,0.39,1.95,2.54,36.29,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,8.5,0.0,0.0,0.0,-3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.258333333333333,0.43,0.25,0.65,-1.1099999999999994,5.615000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190476,0.0,0.0,"$750,000"
Derek Grant,33.0,C,CAN,75.0,119.0,46.0,5.0,13.0,18.0,-4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,5.45,-1.31,0.03,-29.47,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.391304347826087,0.5652173913043478,0.0,0.0,71.0,15.0,14.0,29.0,-16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,10.29,-0.62,-0.31,-12.03,-4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.2112676056338028,0.4084507042253521,0.38028169014084506,0.0,0.0,46.0,6.0,9.0,15.0,-4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.366666666666667,4.55,-0.99,-0.5,-19.57,-13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.32608695652173914,0.5434782608695652,0.0,0.0,54.333333333333336,8.666666666666666,12.0,20.666666666666668,-8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,12.283333333333333,6.763333333333333,-0.9733333333333333,-0.26,-20.356666666666666,-8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.15013268013880385,0.3752806695243927,0.496325780771586,0.0,0.0,"$1,500,000"
Tyler Pitlick,32.0,C,USA,74.0,31.0,61.0,7.0,9.0,16.0,-1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.683333333333334,4.3,-0.6,-0.06,-14.39,-2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.11475409836065574,0.26229508196721313,0.22950819672131148,0.0,0.0,25.0,0.0,2.0,2.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.266666666666667,1.44,0.13,-0.34,1.49,-14.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,38.0,6.0,5.0,11.0,-1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.95,4.4,-0.2,0.02,-6.23,-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.2894736842105263,0.42105263157894735,0.0,0.0,41.333333333333336,4.333333333333333,5.333333333333333,9.666666666666666,-2.3333333333333335,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,11.966666666666669,3.3800000000000003,-0.2233333333333333,-0.12666666666666668,-6.376666666666668,-5.903333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.090882945067587,0.21058958872591316,0.24352027610008628,0.0,0.0,"$750,000"
Patrick Brown,31.0,C,USA,73.0,121.0,43.0,2.0,5.0,7.0,-6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.983333333333333,2.74,-0.37,0.07,-7.35,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.16279069767441862,0.3953488372093023,0.0,0.0,44.0,4.0,5.0,9.0,-16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.45,4.33,-1.04,-0.43,-17.5,-4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.20454545454545456,0.25,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,2.0,-2.0,0.0,10.016666666666667,0.3,0.53,0.32,23.14,15.07,11.1,1.5,0.69,0.31,10.86,0.63,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,30.333333333333332,2.0,3.3333333333333335,5.333333333333333,-7.333333333333333,10.0,4.0,0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,0.0,10.816666666666665,2.4566666666666666,-0.2933333333333334,-0.013333333333333327,-0.5700000000000003,4.133333333333334,3.6999999999999997,0.5,0.22999999999999998,0.10333333333333333,3.6199999999999997,0.21,0.04580690627202255,0.12244538407329104,0.3817829457364341,0.05555555555555555,0.05555555555555555,"$750,000"
Max Willman,28.0,C,USA,72.0,121.0,9.0,0.0,0.0,0.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.916666666666666,0.75,-1.05,-0.62,-9.69,-1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,41.0,4.0,2.0,6.0,-13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,4.42,-0.55,0.04,-18.39,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.14634146341463414,0.3902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.0,3.0,-8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.083333333333332,2.585,-0.8,-0.29,-14.04,-3.705,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.07317073170731707,0.4173441734417344,0.0,0.0,"$750,000"
Jordan Staal,35.0,C,CAN,76.0,2.0,81.0,17.0,17.0,34.0,7.0,32.0,15.0,2.0,6.0,8.0,4.0,6.0,13.966666666666667,12.85,0.83,-0.2,25.32,-0.09,15.4,3.21,0.17,-0.08,8.28,0.03,0.20987654320987653,0.41975308641975306,0.3950617283950617,0.13333333333333333,0.5333333333333333,78.0,17.0,19.0,36.0,11.0,18.0,14.0,1.0,5.0,6.0,0.0,2.0,13.65,15.5,0.85,0.1,19.09,2.25,13.816666666666666,1.89,-0.48,-0.33,0.57,-2.12,0.21794871794871795,0.46153846153846156,0.23076923076923078,0.07142857142857142,0.42857142857142855,53.0,16.0,22.0,38.0,2.0,30.0,11.0,5.0,3.0,8.0,4.0,6.0,13.766666666666667,7.75,0.08,-0.38,9.08,-2.0,14.9,1.84,0.41,0.27,11.76,1.01,0.3018867924528302,0.7169811320754716,0.5660377358490566,0.45454545454545453,0.7272727272727273,70.66666666666667,16.666666666666668,19.333333333333332,36.0,6.666666666666667,26.666666666666668,13.333333333333334,2.6666666666666665,4.666666666666667,7.333333333333333,2.6666666666666665,4.666666666666667,13.794444444444444,12.033333333333333,0.5866666666666667,-0.16,17.83,0.05333333333333338,14.705555555555556,2.313333333333333,0.03333333333333335,-0.04666666666666667,6.87,-0.3600000000000001,0.2432373512038082,0.5327575600112288,0.3972895650044497,0.21976911976911975,0.563059163059163,"$6,000,000"
Brian Dumoulin,32.0,D,USA,76.0,51.0,82.0,1.0,24.0,25.0,-4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,18.05,3.02,0.15,-0.28,5.45,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.3048780487804878,0.1951219512195122,0.0,0.0,76.0,3.0,15.0,18.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,19.566666666666666,3.37,0.2,-0.18,-0.54,-6.69,37.21666666666667,0.02,1.77,-0.08,8.11,-2.42,0.039473684210526314,0.23684210526315788,0.3157894736842105,0.0,0.0,41.0,4.0,10.0,14.0,18.0,12.0,6.0,0.0,2.0,2.0,-1.0,2.0,19.55,1.9,-0.08,-0.01,2.75,-0.69,23.25,0.14,0.43,-0.16,23.79,0.06,0.0975609756097561,0.34146341463414637,0.2926829268292683,0.0,0.3333333333333333,66.33333333333333,2.6666666666666665,16.333333333333332,19.0,12.666666666666666,17.333333333333332,2.3333333333333335,0.0,0.6666666666666666,0.6666666666666666,-0.3333333333333333,0.6666666666666666,19.055555555555557,2.7633333333333336,0.08999999999999998,-0.15666666666666668,2.5533333333333332,-2.5700000000000003,20.155555555555555,0.05333333333333334,0.7333333333333334,-0.08,10.633333333333333,-0.7866666666666666,0.04974326059050064,0.2943945228925973,0.26786478391099705,0.0,0.1111111111111111,"$4,100,000"
Patric Hornqvist,36.0,R,SWE,71.0,230.0,22.0,1.0,2.0,3.0,-4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.733333333333333,3.37,0.36,-0.1,9.14,-1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.13636363636363635,0.5909090909090909,0.0,0.0,65.0,11.0,17.0,28.0,-5.0,19.0,10.0,1.0,1.0,2.0,-3.0,4.0,11.25,13.15,1.08,0.39,17.48,1.39,9.433333333333334,1.54,0.39,0.34,15.69,3.31,0.16923076923076924,0.4307692307692308,0.2923076923076923,0.1,0.2,44.0,14.0,18.0,32.0,-3.0,39.0,6.0,2.0,3.0,5.0,0.0,12.0,13.216666666666667,6.57,0.07,-0.26,10.19,1.88,11.8,0.7,0.85,0.91,15.18,12.88,0.3181818181818182,0.7272727272727273,0.8863636363636364,0.3333333333333333,0.8333333333333334,43.666666666666664,8.666666666666666,12.333333333333334,21.0,-4.0,23.666666666666668,5.333333333333333,1.0,1.3333333333333333,2.3333333333333335,-1.0,5.333333333333333,10.733333333333334,7.696666666666666,0.5033333333333333,0.010000000000000009,12.270000000000001,0.6766666666666666,7.077777777777778,0.7466666666666667,0.41333333333333333,0.4166666666666667,10.29,5.396666666666667,0.17762237762237762,0.4314685314685314,0.5898601398601399,0.14444444444444446,0.3444444444444445,"$5,300,000"
Ian Cole,34.0,D,USA,73.0,18.0,78.0,3.0,14.0,17.0,13.0,61.0,6.0,1.0,2.0,3.0,-2.0,4.0,17.016666666666666,3.8,0.5,0.36,4.53,-0.17,15.483333333333333,0.38,0.6,0.3,11.85,-1.54,0.038461538461538464,0.21794871794871795,0.782051282051282,0.16666666666666666,0.5,75.0,2.0,17.0,19.0,15.0,83.0,14.0,1.0,1.0,2.0,2.0,10.0,15.3,2.61,0.62,0.01,18.91,2.54,12.416666666666666,0.32,-0.78,-0.75,-0.93,-5.81,0.02666666666666667,0.25333333333333335,1.1066666666666667,0.07142857142857142,0.14285714285714285,52.0,1.0,7.0,8.0,21.0,32.0,7.0,0.0,0.0,0.0,-1.0,6.0,15.15,1.03,-0.06,-0.22,-15.68,-7.2,16.05,0.2,-0.41,-0.06,-1.96,8.97,0.019230769230769232,0.15384615384615385,0.6153846153846154,0.0,0.0,68.33333333333333,2.0,12.666666666666666,14.666666666666666,16.333333333333332,58.666666666666664,9.0,0.6666666666666666,1.0,1.6666666666666667,-0.3333333333333333,6.666666666666667,15.822222222222221,2.48,0.35333333333333333,0.049999999999999996,2.5866666666666673,-1.61,14.65,0.3,-0.19666666666666668,-0.17,2.986666666666667,0.5400000000000004,0.028119658119658122,0.2083760683760684,0.8347008547008548,0.07936507936507936,0.21428571428571427,"$3,000,000"
Scott Harrington,30.0,D,CAN,74.0,54.0,28.0,1.0,6.0,7.0,-7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,1.04,0.4,0.31,-10.11,-7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.25,0.2857142857142857,0.0,0.0,7.0,0.0,1.0,1.0,-4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.166666666666666,0.08,-1.58,-0.99,-32.78,-25.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,12.0,1.0,2.0,3.0,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.16,-1.0,-0.53,-15.25,-5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.5,0.0,0.0,15.666666666666666,0.6666666666666666,3.0,3.6666666666666665,-4.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,15.02222222222222,0.4266666666666667,-0.7266666666666667,-0.4033333333333333,-19.38,-12.909999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.03968253968253968,0.21428571428571427,0.5476190476190476,0.0,0.0,"$750,000"
Nick Bonino,35.0,C,USA,73.0,173.0,59.0,10.0,9.0,19.0,-6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,12.883333333333333,9.44,0.05,0.1,-12.57,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1694915254237288,0.3220338983050847,0.4745762711864407,0.0,0.0,80.0,16.0,10.0,26.0,-25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,10.42,-0.5,-0.15,-21.97,-9.42,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.325,0.225,0.0,0.0,55.0,10.0,16.0,26.0,0.0,26.0,7.0,0.0,0.0,0.0,-3.0,0.0,11.466666666666667,4.05,0.27,0.05,-15.81,-8.39,9.883333333333333,0.09,-0.72,-0.24,-15.71,-3.26,0.18181818181818182,0.4727272727272727,0.4727272727272727,0.0,0.0,64.66666666666667,12.0,11.666666666666666,23.666666666666668,-10.333333333333334,24.0,2.3333333333333335,0.0,0.0,0.0,-1.0,0.0,12.672222222222222,7.97,-0.06,4.625929269271485e-18,-16.783333333333335,-8.07,3.2944444444444443,0.03,-0.24,-0.08,-5.236666666666667,-1.0866666666666667,0.1837699024139702,0.37325372367745246,0.3907678479712378,0.0,0.0,"$2,050,000"
Josh Archibald,31.0,R,CAN,70.0,174.0,62.0,6.0,6.0,12.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,5.25,0.52,0.28,1.46,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.1935483870967742,0.6935483870967742,0.0,0.0,8.0,0.0,1.0,1.0,-2.0,7.0,13.0,0.0,1.0,1.0,-5.0,4.0,8.483333333333333,0.32,-1.65,-1.82,-16.5,-22.44,9.3,0.77,-1.68,-1.48,-22.71,-11.56,0.0,0.125,0.875,0.0,0.07692307692307693,52.0,7.0,6.0,13.0,2.0,37.0,3.0,0.0,0.0,0.0,-1.0,2.0,11.65,6.37,-0.19,-0.03,-4.48,0.09,14.166666666666666,0.38,-0.32,-0.41,-3.79,-10.1,0.1346153846153846,0.25,0.7115384615384616,0.0,0.0,40.666666666666664,4.333333333333333,4.333333333333333,8.666666666666666,2.0,29.0,5.333333333333333,0.0,0.3333333333333333,0.3333333333333333,-2.0,2.0,9.761111111111111,3.9800000000000004,-0.43999999999999995,-0.5233333333333333,-6.506666666666667,-7.673333333333335,7.822222222222223,0.3833333333333333,-0.6666666666666666,-0.63,-8.833333333333334,-7.22,0.0771298593879239,0.1895161290322581,0.7600289495450786,0.0,0.025641025641025644,"$900,000"
Oskar Sundqvist,29.0,C,SWE,75.0,81.0,52.0,7.0,14.0,21.0,-4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65,5.41,-0.38,-0.05,-10.61,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,0.40384615384615385,0.38461538461538464,0.0,0.0,41.0,4.0,11.0,15.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083333333333334,4.25,-0.95,-0.78,-13.34,-8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.36585365853658536,0.2926829268292683,0.0,0.0,28.0,4.0,5.0,9.0,-6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,2.61,-0.44,-0.12,-10.55,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.32142857142857145,0.5,0.0,0.0,40.333333333333336,5.0,10.0,15.0,-2.0,15.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,11.96111111111111,4.09,-0.59,-0.3166666666666667,-11.5,-4.6866666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.1250111676940945,0.36370946127043685,0.39243277048155095,0.0,0.0,"$2,750,000"
Conor Sheary,31.0,L,USA,69.0,121.0,82.0,15.0,22.0,37.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,13.366666666666667,13.13,0.04,0.04,-5.27,-5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.18292682926829268,0.45121951219512196,0.2682926829268293,0.0,0.0,71.0,19.0,24.0,43.0,-2.0,14.0,6.0,0.0,1.0,1.0,-2.0,0.0,13.6,9.46,-0.17,-0.26,-0.43,-1.82,14.866666666666667,1.31,0.49,0.62,8.13,20.64,0.2676056338028169,0.6056338028169014,0.19718309859154928,0.0,0.16666666666666666,53.0,14.0,8.0,22.0,-1.0,14.0,5.0,1.0,0.0,1.0,-4.0,2.0,13.216666666666667,9.35,0.4,0.22,8.88,5.24,12.5,0.93,-1.65,-0.8,-17.84,-10.97,0.2641509433962264,0.41509433962264153,0.2641509433962264,0.2,0.2,68.66666666666667,16.0,18.0,34.0,2.0,16.666666666666668,3.6666666666666665,0.3333333333333333,0.3333333333333333,0.6666666666666666,-2.0,0.6666666666666666,13.394444444444446,10.646666666666668,0.09000000000000001,0.0,1.0600000000000005,-0.8233333333333333,9.122222222222222,0.7466666666666667,-0.38666666666666666,-0.06000000000000002,-3.2366666666666664,3.223333333333333,0.23822780215577866,0.49064921821155494,0.2432089083048683,0.06666666666666667,0.12222222222222223,"$1,500,000"
Zach Aston-Reese,29.0,C,USA,73.0,121.0,77.0,10.0,4.0,14.0,-6.0,25.0,6.0,1.0,0.0,1.0,-2.0,0.0,10.85,8.6,0.13,-0.12,-2.9,-5.64,9.85,0.66,-0.87,-0.49,-26.52,-14.02,0.12987012987012986,0.18181818181818182,0.3246753246753247,0.16666666666666666,0.16666666666666666,52.0,2.0,9.0,11.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,3.5,0.04,-0.31,1.26,-2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.21153846153846154,0.4230769230769231,0.0,0.0,45.0,9.0,6.0,15.0,10.0,15.0,6.0,1.0,1.0,2.0,0.0,2.0,13.416666666666666,6.83,0.17,0.21,-1.28,-1.71,12.85,0.45,1.07,0.53,14.82,-3.61,0.2,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,58.0,7.0,6.333333333333333,13.333333333333334,4.0,20.666666666666668,4.0,0.6666666666666666,0.3333333333333333,1.0,-0.6666666666666666,0.6666666666666666,12.172222222222222,6.31,0.11333333333333334,-0.07333333333333333,-0.9733333333333333,-3.3366666666666673,7.566666666666666,0.37000000000000005,0.0666666666666667,0.013333333333333345,-3.9,-5.876666666666666,0.12277722277722276,0.2422299922299922,0.36036186036186035,0.1111111111111111,0.16666666666666666,"$840,630"
Nick Bjugstad,31.0,C,USA,78.0,19.0,59.0,13.0,10.0,23.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,14.416666666666666,10.27,-0.28,0.28,-9.94,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.22033898305084745,0.3898305084745763,0.4406779661016949,0.0,0.0,57.0,7.0,6.0,13.0,-2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.916666666666666,8.02,0.22,0.03,-1.3,-3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.12280701754385964,0.22807017543859648,0.3508771929824561,0.0,0.0,44.0,6.0,11.0,17.0,7.0,17.0,6.0,1.0,0.0,1.0,0.0,2.0,11.45,5.91,0.45,0.26,-6.4,1.86,10.05,0.78,-0.87,-0.4,-17.98,-6.45,0.13636363636363635,0.38636363636363635,0.38636363636363635,0.16666666666666666,0.16666666666666666,53.333333333333336,8.666666666666666,9.0,17.666666666666668,4.0,21.0,2.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,12.261111111111111,8.066666666666666,0.13,0.19000000000000003,-5.88,0.8300000000000001,3.35,0.26,-0.29,-0.13333333333333333,-5.993333333333333,-2.15,0.15983654565278116,0.33475477342560306,0.3926395984825957,0.05555555555555555,0.05555555555555555,"$900,000"
Jason Zucker,31.0,L,USA,71.0,59.0,78.0,27.0,21.0,48.0,-4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,14.833333333333334,23.9,0.99,0.46,14.1,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.6153846153846154,0.6025641025641025,0.0,0.0,41.0,8.0,9.0,17.0,-2.0,15.0,5.0,0.0,2.0,2.0,-3.0,2.0,14.083333333333334,6.1,0.54,0.11,4.09,-1.44,14.2,0.5,-0.81,-1.88,-26.81,-29.45,0.1951219512195122,0.4146341463414634,0.36585365853658536,0.0,0.4,38.0,9.0,9.0,18.0,-8.0,21.0,6.0,2.0,1.0,3.0,-1.0,2.0,14.816666666666666,5.75,-0.44,-0.43,4.59,1.23,15.55,0.86,-0.77,-0.68,9.35,-8.74,0.23684210526315788,0.47368421052631576,0.5526315789473685,0.3333333333333333,0.5,52.333333333333336,14.666666666666666,13.0,27.666666666666668,-4.666666666666667,27.666666666666668,3.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,-1.3333333333333333,1.3333333333333333,14.577777777777778,11.916666666666666,0.36333333333333334,0.04666666666666669,7.593333333333333,2.1566666666666667,9.916666666666666,0.4533333333333333,-0.5266666666666667,-0.8533333333333334,-5.82,-12.729999999999999,0.2593726342121721,0.5012343240841315,0.5070164466826855,0.1111111111111111,0.3,"$5,500,000"
